"Real_ID","ID","sex","L_iris","a_iris","b_iris","ID2","L_iris_scaled","a_iris_scaled","b_iris_scaled","Rec_Session_Id","Set_ID","Trial_Id.x","Trial_Nr","Task_Name","culture","EyeCol","order","Set.x","Set.y","Trial_Id.y","Grupa_ATD","Grupa_EYE","Culture","SMUi_1","SMUi_2","SMUi_3","Facebook_AP","Instagram_AP","TikTok_AP","TwitterX_AP","YouTube_AP","Freq_Facebook","Freq_Instagram","Freq_TikTok","Freq_TwitterX","Freq_YouTube","NEG_FOMO","NEG_better_friends","NEG_hobbies","NEG_too_much_time","fa_8_ml","fa_8_uls","CFA_smu_score_8_no_covariance","CFA_smu_score_8_covariance","fa_12_ml_1FA","fa_12_ml_2FA","fa_12_ml_2FA_aka_NEG","fa_12_uls_1FA","fa_12_uls_2FA","CFA_smu_score_12_SMU_negsep","CFA_smu_score_12_NEG","CFA_smu_score_12_SMU_negNEsep","SMU_score","cultur","SMU_heavy","check_SMU_split","Fami_back","travel_abroad","NearMedian25","NearMedian25_f"
"9050_M_CZ_16_M","9050_M _16","M",45.985,2.453,0.147,"CZ_16_M",2.14074431474026,-0.598685386083878,-1.01301908349693,1218784,"CZ_16_M_38",38,44,"CZ_16_M_eye","TUR","Blue",27943,"CZ_16_M","CZ_16_M",38,"CZ_16M_ATD","CZ_16_M_eye","TUR","4","5","2",1,3,1,2,2,"1","4","1","6","4","5","2","3","4",0.198894849269779,0.173445117616367,0.198547565324358,0.184047074829023,0.469322315214161,0.374127431055142,0.51403375837984,0.461448106838181,0.358088992463222,0.317471553837092,0.470640503691989,0.442609005707451,0.198894849269779,"TUR",0,0.562324357278662,2,4,0,"Outside"
"1011_F_CZ_16_F","1011_F _16","f",30.67,12.363,20.785,"CZ_16_F",-0.0876195421891063,1.89841336612774,1.98137152970314,1218784,"CZ_16_F_1",1,45,"CZ_16_F_eye","TUR","Brown",27944,"CZ_16_F","CZ_16_F",1,"CZ_16F_ATD","CZ_16_F_eye","TUR","4","5","2",1,3,1,2,2,"1","4","1","6","4","5","2","3","4",0.198894849269779,0.173445117616367,0.198547565324358,0.184047074829023,0.469322315214161,0.374127431055142,0.51403375837984,0.461448106838181,0.358088992463222,0.317471553837092,0.470640503691989,0.442609005707451,0.198894849269779,"TUR",0,0.562324357278662,2,4,0,"Outside"
"8050_M_CZ_16_M","8050_M _16","M",43.24,2.562,2.849,"CZ_16_M",1.74134119444832,-0.571219819586293,-0.620982866961092,1218784,"CZ_16_M_19",19,45,"CZ_16_M_eye","TUR","Blue",27945,"CZ_16_M","CZ_16_M",19,"CZ_16M_ATD","CZ_16_M_eye","TUR","4","5","2",1,3,1,2,2,"1","4","1","6","4","5","2","3","4",0.198894849269779,0.173445117616367,0.198547565324358,0.184047074829023,0.469322315214161,0.374127431055142,0.51403375837984,0.461448106838181,0.358088992463222,0.317471553837092,0.470640503691989,0.442609005707451,0.198894849269779,"TUR",0,0.562324357278662,2,4,0,"Outside"
"4241_F_CZ_16_F","4241_F _16","f",36.901,3.073,6.461,"CZ_16_F",0.819003715566486,-0.442459228024221,-0.0969137277577468,1218784,"CZ_16_F_26",26,46,"CZ_16_F_eye","TUR","Blue",27946,"CZ_16_F","CZ_16_F",26,"CZ_16F_ATD","CZ_16_F_eye","TUR","4","5","2",1,3,1,2,2,"1","4","1","6","4","5","2","3","4",0.198894849269779,0.173445117616367,0.198547565324358,0.184047074829023,0.469322315214161,0.374127431055142,0.51403375837984,0.461448106838181,0.358088992463222,0.317471553837092,0.470640503691989,0.442609005707451,0.198894849269779,"TUR",0,0.562324357278662,2,4,0,"Outside"
"4130_M_CZ_16_M","4130_M _16","M",34.603,2.385,0.835,"CZ_16_M",0.484640010491482,-0.615819867935583,-0.913196390315338,1218784,"CZ_16_M_5",5,46,"CZ_16_M_eye","TUR","Blue",27947,"CZ_16_M","CZ_16_M",5,"CZ_16M_ATD","CZ_16_M_eye","TUR","4","5","2",1,3,1,2,2,"1","4","1","6","4","5","2","3","4",0.198894849269779,0.173445117616367,0.198547565324358,0.184047074829023,0.469322315214161,0.374127431055142,0.51403375837984,0.461448106838181,0.358088992463222,0.317471553837092,0.470640503691989,0.442609005707451,0.198894849269779,"TUR",0,0.562324357278662,2,4,0,"Outside"
"6051_F_CZ_16_F","6051_F _16","f",38.166,3.924,10.358,"CZ_16_F",1.00306380560995,-0.228026227203626,0.468506381731577,1218784,"CZ_16_F_47",47,47,"CZ_16_F_eye","TUR","Other",27948,"CZ_16_F","CZ_16_F",47,"CZ_16F_ATD","CZ_16_F_eye","TUR","4","5","2",1,3,1,2,2,"1","4","1","6","4","5","2","3","4",0.198894849269779,0.173445117616367,0.198547565324358,0.184047074829023,0.469322315214161,0.374127431055142,0.51403375837984,0.461448106838181,0.358088992463222,0.317471553837092,0.470640503691989,0.442609005707451,0.198894849269779,"TUR",0,0.562324357278662,2,4,0,"Outside"
"8080_M_CZ_16_M","8080_M _16","M",38.61,3.825,3.291,"CZ_16_M",1.06766671468449,-0.252972016958314,-0.556852590236873,1218784,"CZ_16_M_22",22,47,"CZ_16_M_eye","TUR","Blue",27949,"CZ_16_M","CZ_16_M",22,"CZ_16M_ATD","CZ_16_M_eye","TUR","4","5","2",1,3,1,2,2,"1","4","1","6","4","5","2","3","4",0.198894849269779,0.173445117616367,0.198547565324358,0.184047074829023,0.469322315214161,0.374127431055142,0.51403375837984,0.461448106838181,0.358088992463222,0.317471553837092,0.470640503691989,0.442609005707451,0.198894849269779,"TUR",0,0.562324357278662,2,4,0,"Outside"
"5181_F_CZ_16_F","5181_F _16","f",43.184,1.254,-4.348,"CZ_16_F",1.73319307979027,-0.900806617557313,-1.6652036850249,1218784,"CZ_16_F_43",43,48,"CZ_16_F_eye","TUR","Blue",27950,"CZ_16_F","CZ_16_F",43,"CZ_16F_ATD","CZ_16_F_eye","TUR","4","5","2",1,3,1,2,2,"1","4","1","6","4","5","2","3","4",0.198894849269779,0.173445117616367,0.198547565324358,0.184047074829023,0.469322315214161,0.374127431055142,0.51403375837984,0.461448106838181,0.358088992463222,0.317471553837092,0.470640503691989,0.442609005707451,0.198894849269779,"TUR",0,0.562324357278662,2,4,0,"Outside"
"6080_M_CZ_16_M","6080_M _16","M",26.069,10.997,17.09,"CZ_16_M",-0.757074462576441,1.55421186304792,1.44525982722353,1218784,"CZ_16_M_9",9,48,"CZ_16_M_eye","TUR","Brown",27951,"CZ_16_M","CZ_16_M",9,"CZ_16M_ATD","CZ_16_M_eye","TUR","4","5","2",1,3,1,2,2,"1","4","1","6","4","5","2","3","4",0.198894849269779,0.173445117616367,0.198547565324358,0.184047074829023,0.469322315214161,0.374127431055142,0.51403375837984,0.461448106838181,0.358088992463222,0.317471553837092,0.470640503691989,0.442609005707451,0.198894849269779,"TUR",0,0.562324357278662,2,4,0,"Outside"
"5031_F_CZ_16_F","5031_F _16","f",28.602,2.456,4.405,"CZ_16_F",-0.388517776347117,-0.597929453061009,-0.395221078312032,1218784,"CZ_16_F_30",30,49,"CZ_16_F_eye","TUR","Blue",27952,"CZ_16_F","CZ_16_F",30,"CZ_16F_ATD","CZ_16_F_eye","TUR","4","5","2",1,3,1,2,2,"1","4","1","6","4","5","2","3","4",0.198894849269779,0.173445117616367,0.198547565324358,0.184047074829023,0.469322315214161,0.374127431055142,0.51403375837984,0.461448106838181,0.358088992463222,0.317471553837092,0.470640503691989,0.442609005707451,0.198894849269779,"TUR",0,0.562324357278662,2,4,0,"Outside"
"8040_M_CZ_16_M","8040_M _16","M",34.437,8.077,13.082,"CZ_16_M",0.46048667061226,0.818437054121789,0.863734602991242,1218784,"CZ_16_M_18",18,49,"CZ_16_M_eye","TUR","Brown",27953,"CZ_16_M","CZ_16_M",18,"CZ_16M_ATD","CZ_16_M_eye","TUR","4","5","2",1,3,1,2,2,"1","4","1","6","4","5","2","3","4",0.198894849269779,0.173445117616367,0.198547565324358,0.184047074829023,0.469322315214161,0.374127431055142,0.51403375837984,0.461448106838181,0.358088992463222,0.317471553837092,0.470640503691989,0.442609005707451,0.198894849269779,"TUR",0,0.562324357278662,2,4,0,"Outside"
"4081_F_CZ_16_F","4081_F _16","f",32.718,2.565,0.134,"CZ_16_F",0.210368651019601,-0.570463886563424,-1.01490526810646,1218784,"CZ_16_F_16",16,50,"CZ_16_F_eye","TUR","Blue",27954,"CZ_16_F","CZ_16_F",16,"CZ_16F_ATD","CZ_16_F_eye","TUR","4","5","2",1,3,1,2,2,"1","4","1","6","4","5","2","3","4",0.198894849269779,0.173445117616367,0.198547565324358,0.184047074829023,0.469322315214161,0.374127431055142,0.51403375837984,0.461448106838181,0.358088992463222,0.317471553837092,0.470640503691989,0.442609005707451,0.198894849269779,"TUR",0,0.562324357278662,2,4,0,"Outside"
"9072_M_CZ_16_M","9072_M _16","M",37.968,3.589,13.314,"CZ_16_M",0.974254400211843,-0.312438748090699,0.897395743715267,1218784,"CZ_16_M_45",45,50,"CZ_16_M_eye","TUR","Other",27955,"CZ_16_M","CZ_16_M",45,"CZ_16M_ATD","CZ_16_M_eye","TUR","4","5","2",1,3,1,2,2,"1","4","1","6","4","5","2","3","4",0.198894849269779,0.173445117616367,0.198547565324358,0.184047074829023,0.469322315214161,0.374127431055142,0.51403375837984,0.461448106838181,0.358088992463222,0.317471553837092,0.470640503691989,0.442609005707451,0.198894849269779,"TUR",0,0.562324357278662,2,4,0,"Outside"
"2051_F_CZ_19_F","2051_F _19","f",35.479,0.6779,1.4664,"CZ_19_F",0.612099804070987,-1.04597095571565,-0.82158585474142,1218790,"CZ_19_F_16",16,1,"CZ_19_F_eye","TUR","Blue",27956,"CZ_19_F","CZ_19_F",16,"CZ_19F_ATD","CZ_19_F_eye","TUR","7","6","3",1,4,1,1,4,"1","6","1","1","5","4","4","4","4",0.951939942965997,0.869984064263057,0.985000794893201,1.04015785551215,1.01264894287894,0.972241307485969,1.055256756658,0.976798803497128,0.922330610090031,0.981504271869295,0.687997218371833,0.946073489044403,0.951939942965997,"TUR",1,0.562324357278662,2,5,0,"Outside"
